Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Female,21,at_home,services,87,no,2,0,yes,yes,no,yes,yes,4,3,5,87.36,81.83,70.14,57.33,63.41
Male,22,services,other,41,no,1,0,yes,yes,no,yes,yes,3,3,4,73,75,69.57,57.6,61.06
Male,21,teacher,other,51,no,1,0,no,yes,yes,yes,yes,3,2,1,86,67,59.43,52,59.88
Male,22,at_home,other,47,no,2,0,yes,yes,no,yes,no,3,2,5,81.74,85.667,76,75.47,63.29
Male,22,teacher,other,100,no,1,0,yes,yes,yes,yes,yes,4,2,4,73,79,60.29,54.93,62
Female,22,other,other,0,no,1,0,yes,yes,yes,yes,yes,3,3,3,95.2,83,54.71,47.33,60.59
Male,21,services,other,105,no,1,0,yes,yes,no,yes,yes,3,5,3,89,75,62,55.87,58.59
Male,21,other,other,42,no,2,0,yes,yes,no,yes,yes,3,4,4,82.72,75.2,64.86,59.33,64.71
Female,22,services,other,57,no,2,0,yes,yes,yes,yes,yes,4,4,5,82.72,71.32,64.71,69.2,62.24
Male,22,services,other,40,no,2,0,yes,yes,no,yes,no,2,1,3,63.52,67.33,59.14,45.6,49.18
Female,22,other,other,60,no,2,0,no,yes,no,yes,yes,4,4,1,92,72,56.86,64.13,64.24
Female,22,other,other,154,no,1,0,no,yes,no,yes,yes,4,5,1,89.59,88.64,81,51.87,53.29
Female,21,services,health,42,no,4,1,yes,yes,no,yes,yes,2,4,4,68,62,84.57,76.8,74.71
Male,21,at_home,other,18,no,3,0,yes,yes,no,yes,no,3,3,3,94.4,80.33,75.43,67.47,64.35
Female,21,at_home,at_home,74,no,2,0,yes,yes,yes,yes,yes,3,3,4,84.64,76.16,58.37,53.07,66.47
Female,22,at_home,services,52,no,2,0,yes,no,yes,yes,yes,2,5,5,92,79,77.57,79.33,77.29
Female,21,at_home,other,40,no,1,0,yes,no,yes,yes,no,3,4,5,84,80,74.57,76.8,78.82
Female,21,services,teacher,62,no,3,0,no,no,no,yes,yes,3,1,3,93,91,75.29,79.41,73.65
Female,21,other,other,58,no,4,0,yes,yes,no,yes,yes,3,3,4,89.62,88.16,83.43,80.27,76.24
Female,22,teacher,services,70,no,2,0,yes,no,yes,yes,yes,3,2,5,89,83,81,77.2,62.94
Male,22,other,other,95,no,2,0,no,no,yes,yes,yes,3,3,4,92,76,64.86,60.53,58
Male,21,other,other,84,no,2,0,no,no,yes,yes,yes,3,4,3,84,78.16,71.14,70.27,69.06
Female,21,services,services,125,no,1,1,yes,yes,no,yes,yes,3,3,3,90.4,84.6,75,71.87,62.12
Female,21,at_home,other,4,no,2,0,yes,yes,yes,yes,yes,3,2,3,79.04,71.66,8,55.47,54.12
Female,22,other,other,47,no,2,0,no,no,yes,yes,yes,2,3,3,91,90,83.29,79.73,76.12
Male,21,health,other,49,no,2,0,no,no,yes,yes,yes,2,3,3,80,80,75.86,58.67,62.71
Female,21,other,other,65,no,1,0,yes,yes,yes,yes,yes,5,2,1,86.72,88.33,83.71,77.33,80
Female,22,teacher,teacher,22,no,3,0,yes,no,yes,yes,yes,5,5,2,85,74,18,63.6,56.12
Female,21,health,other,47,no,2,0,yes,yes,yes,yes,yes,2,4,1,79,69,74.14,6.34,63.65
Male,21,other,other,85,no,3,0,yes,yes,no,yes,yes,4,2,5,92.96,85.83,96.71,63.2,55.18
Female,21,at_home,other,41,no,2,0,no,no,yes,yes,yes,3,3,2,96.48,95.5,83.71,84,79.53
Male,23,other,other,0,yes,2,0,no,yes,yes,yes,yes,4,2,4,92,84,72.29,65.47,63.88
